"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"5/8/2023 11 p.m. EDT",464277,452937,457317,575
US48,"5/9/2023 12 a.m. EDT",438223,427253,430774,1217
US48,"5/9/2023 1 a.m. EDT",414691,406543,,
US48,"5/9/2023 2 a.m. EDT",392046,382478,,
US48,"5/9/2023 3 a.m. EDT",376281,365424,,
US48,"5/9/2023 4 a.m. EDT",365057,359183,,
US48,"5/9/2023 5 a.m. EDT",361904,359491,,
US48,"5/9/2023 6 a.m. EDT",368217,370846,,
US48,"5/9/2023 7 a.m. EDT",385395,388039,,
US48,"5/9/2023 8 a.m. EDT",403546,404803,,
US48,"5/9/2023 9 a.m. EDT",415498,418706,,
US48,"5/9/2023 10 a.m. EDT",428778,432017,,
US48,"5/9/2023 11 a.m. EDT",441483,445326,,
US48,"5/9/2023 12 p.m. EDT",451600,457424,,
US48,"5/9/2023 1 p.m. EDT",461877,467891,,
US48,"5/9/2023 2 p.m. EDT",474108,477777,,
US48,"5/9/2023 3 p.m. EDT",480398,485974,,
US48,"5/9/2023 4 p.m. EDT",486832,494123,,
US48,"5/9/2023 5 p.m. EDT",493237,500603,,
US48,"5/9/2023 6 p.m. EDT",497581,504447,,
US48,"5/9/2023 7 p.m. EDT",497796,503686,,
US48,"5/9/2023 8 p.m. EDT",492356,497868,,
US48,"5/9/2023 9 p.m. EDT",485834,488816,,
US48,"5/9/2023 10 p.m. EDT",477224,474329,,
US48,"5/9/2023 11 p.m. EDT",457308,453354,,
US48,"5/10/2023 12 a.m. EDT",432363,492266,,
US48,"5/10/2023 1 a.m. EDT",408280,,,
US48,"5/10/2023 2 a.m. EDT",383672,,,
US48,"5/10/2023 3 a.m. EDT",368388,,,
US48,"5/10/2023 4 a.m. EDT",362418,,,
US48,"5/10/2023 5 a.m. EDT",356520,,,
US48,"5/10/2023 6 a.m. EDT",361753,,,
US48,"5/10/2023 7 a.m. EDT",376659,,,
